,A-B,A-C,A-D,B-C,B-D,C-D
상관계수,-0.004986265,0.081263212,-0.048551727,-0.617647859,0.796130869,-0.477608906
,,,,,,
,,,,,,
,,,A,B,C,D
지역코드,지역1,지역2,미세먼지 위험도,질병 위험도,미세먼지-질병 상관,평균연령(10년)
30170,대전,서구,90.03425211,91.35753552,0.426742113,38.01
11710,서울,송파구,102.1964389,79.88325856,0.37155943,39.16
11680,서울,강남구,99.26645597,76.42113003,0.312712237,39.11
11740,서울,강동구,105.7140248,88.38335643,0.298265255,40.12
30200,대전,유성구,99.4452049,75.53964804,0.296854476,35.87
11650,서울,서초구,116.5031127,79.64111298,0.286583054,39.04
11170,서울,용산구,84.16718456,90.38890319,0.255322902,42.07
28110,인천,중구,100.2374019,92.58032611,0.250795638,40.62
11350,서울,노원구,117.4000459,87.83037525,0.249540752,39.93
11500,서울,강서구,119.5924716,87.48791459,0.240536609,39.85
11560,서울,영등포구,105.8554933,96.96081509,0.239804378,41
28260,인천,서구,98.78524669,89.03955488,0.230571147,37.18
31200,울산,북구,89.27669484,72.89463796,0.229383977,35.55
11290,서울,성북구,106.8105725,98.47904317,0.212634889,40.83
31710,울산,울주군,87.71425083,95.81580071,0.1992504,39.49
27290,대구,달서구,96.50321978,90.66818341,0.197414777,39.02
11320,서울,도봉구,95.79743924,96.39195083,0.188150488,41.6
27260,대구,수성구,97.06690354,92.73008925,0.177495357,39.73
28200,인천,남동구,104.1619516,94.38852019,0.172533092,38.6
11200,서울,성동구,105.0457929,92.34824549,0.159928519,40.63
26260,부산,동래구,101.6153291,105.6465758,0.154076111,41.8
11545,서울,금천구,101.8387663,102.4291241,0.152908769,41.45
28185,인천,연수구,80.19685256,77.87370948,0.149454737,37.39
11230,서울,동대문구,82.16359533,100.1206199,0.139345809,41.66
11215,서울,광진구,91.4395799,88.96112257,0.133080747,39.8
30230,대전,대덕구,121.6887858,107.4782475,0.130981773,39.63
11620,서울,관악구,100.6573546,87.78009635,0.127087349,40.3
26380,부산,사하구,111.43517,107.4776404,0.124506696,41.4
29200,광주,광산구,96.28710882,87.21638697,0.112949865,35.16
11530,서울,구로구,112.7403553,96.11472441,0.104260065,40.45
29140,광주,서구,107.9400755,104.2475865,0.103070671,38.32
11380,서울,은평구,108.8065572,93.65492718,0.092783699,41.2
28245,인천,계양구,111.5381002,89.25077195,0.090399627,38.55
11440,서울,마포구,108.9223455,84.59006693,0.089772622,39.97
26200,부산,영도구,78.55451806,129.4342769,0.070700681,45.85
26530,부산,사상구,115.954462,111.906266,0.068540491,41.58
26230,부산,부산진구,87.23191699,113.3235118,0.06781885,42.56
26290,부산,남구,80.30843804,113.6423943,0.06669994,42.28
26110,부산,중구,96.63601942,114.0177811,0.061465056,46.58
11305,서울,강북구,115.5341987,102.9239105,0.05596781,42.59
31140,울산,남구,81.95316969,83.96771043,0.055394449,38.39
11590,서울,동작구,108.508069,88.63309582,0.054039122,40.6
30110,대전,동구,124.4156521,115.5816835,0.052470158,41.14
28140,인천,동구,121.5437167,120.5042175,0.040336671,42.92
30140,대전,중구,108.7752522,107.8725667,0.034044474,41.18
11470,서울,양천구,121.3465785,88.6278125,0.031696683,39.24
26350,부산,해운대구,84.05731913,99.46362144,0.029490838,40.83
26320,부산,북구,80.10128894,106.3370061,0.021551372,40.8
26140,부산,서구,101.3413345,121.6255216,0.007244952,45.59
26500,부산,수영구,93.61544634,109.9351743,-0.002232239,43.39
11410,서울,서대문구,106.7475167,90.24127392,-0.008342474,41.51
11260,서울,중랑구,95.75693812,101.099706,-0.013118239,41.45
26410,부산,금정구,70.10249982,105.409056,-0.016341331,42.83
31110,울산,중구,85.23540719,99.84242957,-0.022029054,39.71
11110,서울,종로구,102.820744,92.78700402,-0.022087658,42.72
31170,울산,동구,81.52567404,83.45693485,-0.026807719,37.77
11140,서울,중구,91.62514305,100.0736407,-0.034410897,43.06
26710,부산,기장군,81.17309404,97.53929801,-0.035167524,39.62
27230,대구,북구,117.251466,97.39582029,-0.069795526,39.08
29170,광주,북구,101.7540249,105.0367702,-0.075333627,38.98
29155,광주,남구,117.0102013,115.4786921,-0.077984622,40.26
28237,인천,부평구,98.28316361,89.92120332,-0.0929973,39.57
26470,부산,연제구,99.96258414,112.2960045,-0.103742976,42.16
28710,인천,강화군,112.3849201,132.4885183,-0.10701756,49.62
27710,대구,달성군,98.32122301,99.34609545,-0.120843581,38.69
27140,대구,동구,90.99124638,114.1316939,-0.128955165,42.05
28170,인천,남구,105.2835194,102.4385409,-0.130800896,41.07
27110,대구,중구,104.5407348,107.7419642,-0.158968178,44.04
27200,대구,남구,106.6583826,113.8806183,-0.167189103,44.38
26440,부산,강서구,103.8997243,102.7192862,-0.174538685,40.09
29110,광주,동구,94.3387367,124.2086346,-0.198557706,43.86
27170,대구,서구,109.4644722,120.3809858,-0.216686776,43.7
26170,부산,동구,66.14706865,126.4112825,-0.24205229,46.37
